Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
1,2020-01-09,Byju’S,E-Tech,E-Learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0
2,2020-01-13,Shuttl,Transportation,App Based Shuttle Service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0
3,2020-01-09,Mamaearth,E-Commerce,Retailer Of Baby And Toddler Products,Bengaluru,Sequoia Capital India,Series B,18358860.0
4,2020-01-02,Https://Www.Wealthbucket.In/,Fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,3000000.0
5,2020-01-02,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0
6,2020-01-13,Pando,Logistics,"Open-Market, Freight Management Platform",Chennai,Chiratae Ventures,Series A,9000000.0
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000.0
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0
9,2019-12-06,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0
11,2019-12-13,Rivigo,Technology,Logistics Services And Solutions,Gurgaon,"Saif Partners, Spring Canter Investment Ltd.",Series F,20000000.0
12,2019-12-17,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, Nptk, Sabre Partners And Neoplux",Series C,12000000.0
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0
14,2019-12-16,Incred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000.0
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0
16,2019-12-11,Rein Games,Gaming,Real Money Based Gaming Startup,Noida,Manipal Education And Medical Group (Memg),Seed Round,50000000.0
17,2019-12-20,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Softbank Vision Fund,Series G,231000000.0
18,2019-11-13,Freshworks,Software,Business And Customer Engagement Tools,San Francisco,"Sequoia, Capitalg, Accel",Series H,150000000.0
19,2019-11-14,Misters,Health And Wellness,Men'S Health And Wellness Brand,Gurgaon,"Sauce.Vc, Rainforest Ventures",Series B,486000.0
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Co-Founder Rajul Garg",Seed,1500000.0
22,2019-11-18,Healthians,Health And Wellness,Healthcare Services,Gurgaon,"Dg Daiwa Ventures, Dg Incubation",Series B,12000000.0
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0
24,2019-11-20,Aye Finance,Fintech,Financial Services To Msmes,Gurgaon,Fintech,Debt Funding,17411265.0
25,2019-11-12,Supergaming,Video Games,Social Gaming Platform,Pune,Dream Incubator,Seed Funding,1300000.0
26,2019-11-20,Clumio,Saas,Recovery Software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0
27,2019-11-11,Ebikego,Last Mile Transportation,Electric Bike Rental,Amritsar,Startup Buddy,Seed,300000.0
28,2019-11-19,Digital Mall Asia,E-Commerce,Virtual E-Commerce Platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0
29,2019-11-18,Medikabazaar,Healthcare,B2B Platform For Medical Supplies,Mumbai,"Ackermans & Van Haaren, Healthquad, Rebright Partners, Toppan Printing",Series B,15800000.0
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter Sharing App,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0
31,2019-11-19,Furtados School Of Music,Education,Music Education,Tulangan,Ian Fund And Dsg Consumer Partners,Unknown,200000000.0
32,2019-11-25,Paytm,Fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0
34,2019-10-02,Udaan,B2B,Business Development,Bengaluru,"Altimeter Capital, Dst Global",Series D,585000000.0
36,2019-09-05,Fpl Technologies,Fintech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0
37,2019-09-04,Cashflo,Fintech,Invoice Discounting Platform And Sme Lending Marketplace,Mumbai,Saif Partners,Series A,3300000.0
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital Marketing Firm,Mumbai,Tiw Private Equity,Private Equity Round,6000000.0
39,2019-09-04,3Rdflix,Saas,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,5000000.0
40,2019-09-04,75F,Iot,Building Automation System,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0
41,2019-09-04,Myelin Foundry,Information Technology,Deep-Technology,Bengaluru,Endiya Partners,Seed,1000000.0
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0
43,2019-09-04,Goqii,Health And Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman And Company Ltd (Bccl),Series C,450000000.0
44,2019-09-03,Vyapar App,Accounting,Mobile-Based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0
45,2019-08-01,Cardekho,E-Commerce,Automotive,Gurgaon,Sc Gg India Mobility Holdings Llc,Series C,20000000.0
46,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0
47,2019-08-01,Mypetrolpump,Retail,Fuel Delivery,Bengaluru,Unknown,Seed Funding Round,1600000.0
48,2019-08-01,Alteria Capital,Finance,Vc Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0
49,2019-08-01,Pine Labs,Information Technology,Last-Mile Retail Transaction Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,Ms Dhoni,Series D,11000000.0
52,2019-08-13,Uniphore,Customer Service Platform,Conversational Ai,Palo Alto,March Capital Partners,Series C,51000000.0
53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,Xl Innovate,Series B,37000000.0
54,2019-08-23,Lo! Foods,Consumer Goods,Low Carb Food For Diabetics,Bengaluru,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Co-Founder, Myntra) And Mitesh Shah (Finance Chief, Bookmyshow)",Seed Round,500000.0
55,2019-08-23,Tala,Fintech,Digital Lending Platform,Santa Monica,Rps Ventures,Series D,110000000.0
56,2019-08-22,Indwealth,Fintech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000.0
57,2019-08-21,Hungerbox,Food And Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0
58,2019-08-23,Admitkard,Edtech,University Admissions,Noida,Growth Dna,Seed Round,1000000.0
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000.0
61,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0
62,2019-07-02,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, Iifl Wealth",Series B,19000000.0
63,2019-07-02,Atlan,Information Technology,Big Data,Singapore,Waterbridge Ventures,Pre-Series A,2500000.0
64,2019-07-01,Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000.0
65,2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",Series J,1000000.0
66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0
67,2019-07-04,Daalchini Technologies,Food And Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0
68,2019-07-10,"""Byju\\'S""",Edtech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0
69,2019-07-11,Moglix,E-Commerce,Industrial Tools And Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0
70,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0
71,2019-07-10,Indus Os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0
72,2019-07-10,Healthassure,Health Care,Primary Care Medical Network,Mumbai,Blume Ventures,Series A,2500000.0
73,2019-07-09,House Of Msasaba,Luxury Label,Clothes And Apparel,Mumbai,Binny Bansal,Series A,1000000.0
74,2019-07-08,Board Infinity,Edtech,Full-Stack Career Platform,Chembur,Multiple Angel Investors,Angel Round,319605.0
75,2019-06-05,Nobroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0
76,2019-06-04,Bira91,Food And Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0
77,2019-06-03,Fabhotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners And Qualcomm",Unknown,4889975.54
78,2019-06-03,Avail Finance,Finance,Fintech,Bengaluru,Matrix Partners,Series A,9000000.0
79,2019-06-04,Bharatpe,Finance,Fintech,New Delhi,Insight Partners,Series B,75000000.0
80,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",Pre-Series A,26000000.0
81,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures And Rtp Global,Pre-Series A,2500000.0
82,2019-06-06,Sistema.Bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, Dila Capital, Engie Rde Fund, Ecoenterprise Fund, Edfimc (Electrifi), Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, And Lendahand",Unknown,2739034.68
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,Ian Fund,Series A,26000000.0
84,2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0
85,2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0
86,2019-06-10,Okcredit,Fintech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0
87,2019-06-06,Biz2Credit,Fintech,Online Lending Platform,New York,Westbridge Capital,Series B,52000000.0
88,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0
89,2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0
91,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0
93,2019-05-01,Blackbuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners And Silicon Valley-Based Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital And International Finance Corporation,",Series D,150000000.0
94,2019-05-02,Zenoti,Saas,Beauty And Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0
95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0
96,2019-05-28,Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0
97,2019-05-30,Glowroad,E-Commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0
98,2019-05-31,Bira91,Food And Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000.0
99,2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0
100,2019-04-12,Medlife,E-Commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0
101,2019-04-10,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport,",Private Equity,430665.0
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (Formerly Idg Ventures), 3One4 Capital, Lasmer Nv",Series B,3591375.0
103,2019-04-12,Azah,Health And Wellness,Organic Wellness,Gurugram,Unnamed Angel Investors,Seed Funding,200000.0
104,2019-04-11,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0
105,2019-04-10,Toppr,Edtech,E-Learning,Mumbai,Milestone,Debt And Preference Capital,6320820.0
106,2019-04-10,Craftsvilla,E-Commerce,Fashion And Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0
107,2019-04-10,Unacademy,Edtech,E-Learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0
108,2019-04-11,Clevertap,Saas,Mobile Analytics And Marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0
109,2019-04-19,My Healthcare,E-Commerce,Software Solutions,Bengaluru And Gurugram,Sixth Sense Ventures,Series A,3000000.0
111,2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0
112,2019-04-17,Increff,Technology,Supply-Chain Technology Solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital And Temasek Holdings, Edbi, Burda Principal Investments, And Sofina",Series D,226000000.0
115,2019-02-13,Nanoclean Global,Nanotechnology,Anti-Pollution,New Delhi,"Letsventure, Pitchright Venture, 91Springboard, Al Nour International Holdings And Mark V Investments",Series A,600000.0
116,2018-02-14,Oyorooms,Hospitality,Budget Rooms,Gurgaon,Didi Chuxing,Equity,100000000.0
117,2019-01-03,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\Xe2\\X80\\X99S Growth Investment Arm Capital G And Axis Bank",Series C,110000000.0
118,2019-01-04,Vyome Therapeutics Inc.,Health And Wellness,Specialty Pharmaceutical,India/Us,"Iron Pillar, Perceptive Advisors, Romulus Capital And Kalaari Capital",Series D,22000000.0
119,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-Banking Financial Company,Chennai,"Massif, A Dutch Government Fund",Debt-Funding,5000000.0
120,2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000.0
121,2018-12-01,Urbanclap Technologies Pvt. Ltd,Services Platform,Home Services Marketplace,New Delhi,Steadview Capital And Vy Capital.,Series D,50000000.0
122,2018-12-02,Guiddoo,Travel Tech,Platform For Travel Agents,Mumbai,Individual Investors,Pre-Series A,800000.0
123,2018-12-02,Career Anna,Online Education,"Video-Based Certification, Trainings",Gurugram,Individual Investors,Pre-Series A,572000.0
124,2018-12-04,Nagpur Wholesale,Online Marketplace,Ecommerce,Nagpur,Omphalos Ventures India Llp,Seed Funding,143000.0
125,2018-12-06,Shopkirana,B2B,Ecommerce,Indore,"Info Edge, Aet Fund, Akatsuki And Incubate Fund From Japan And Better Capital Angellist Syndicate.",Seed Funding,2000000.0
126,2018-12-06,Buildsupply,"Saas, Ecommerce","Real Estate, Erp",Gurugram,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors",Series A,3500000.0
127,2018-11-01,Godesi,Food And Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.0
128,2018-11-03,Veritas Finance Ltd.,Nbfc,Msme Finance,Chennai,"Norwest Venture Partners, Cdc Group, The Uk\\Xe2\\X80\\X99S Development Finance Institution And P Surendra Pai",Series D,27799000.0
129,2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, Dst Partners And Rps Ventures",Series C,50000000.0
130,2018-11-08,Mobile Premier League,Gaming,Mobile E-Sports,Bengaluru,Undisclosed,Series A,500000.0
131,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"Rb Investments, Singapore",Equity,1000000.0
132,2018-11-12,Blackbuck,Food Tech,Pos For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0
133,2018-11-12,Milkbasket,Food,Micro-Delivery Grocery Service,New Delhi,Mayfield Fund,Series B,1300000.0
134,2018-11-13,Driveu,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0
135,2018-11-14,Cleansecar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.0
136,2018-11-19,Automation Anywhere,Automation,Robotics,California,Softbank Vision Fund,Series B,300000000.0
137,2018-11-20,Healthifyme,Health And Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures And Innoven Capital.",Series B (Extension),6000000.0
138,2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual Investors,Seed Funding,278000.0
139,2018-11-22,Aavishkaar-Intellecap Group,Investment,Sme Funding,Mumbai,Teachers Insurance And Annuity Association (Tiaa),Equity Based Funding,31000000.0
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners And Kalaari Capital, Rajan Anandan From Google, Dilip Khandwelwal From Sap Labs India, And Amrish Rau From Payu India",Series A,3400000.0
142,2018-11-24,Engineer.Ai,Software,Ai Platform,India/Us,"Lakestar And Jungle Ventures, Softbank\\Xe2\\X80\\X99S Deepcore.",Series A,29500000.0
143,2018-11-25,Incred Finance,Finance,Sme Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0
144,2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000.0
146,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian And Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0
147,2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0
148,2018-10-05,Droom,Automobile,New And Used Cars Platform,Gurgaon,Zigexn,Series E,3000000.0
149,2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000.0
150,2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0
151,2018-10-12,Letstransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0
152,2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema Jsfc And Tanncam Investment",Private Equity,35000000.0
153,2018-09-03,Udaan,B2B Platform,Logistics And Shipping,Bengaluru,Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund.,Private Equity,225000000.0
154,2018-09-03,Daily Hunt,Consumer Internet,News And Ebooks Mobile App\\Xc2\\Xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0
155,2018-09-04,3Hcare,Healthcare,Healthcare Service Provider,Delhi,Unknown,Seed / Angel Funding,1000000.0
157,2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-Brand Beauty Cosmetic And Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0
159,2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital And Private Equity Firm Multiples Alternate Asset Management",Private Equity,100000000.0
160,2018-09-10,Mamaearth,Healthcare,Online Marketplace For Mother And Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0
161,2018-09-11,Autogrid,Technology,Ai-Based Energy Optimisation And Control Provider,Bengaluru,"Clp Holdings Group, Innogy, \\Xc3\\X98Rstead, And Tenaska",Private Equity,32000000.0
162,2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,Innoven Capital,Debt Funding,5500000.0
163,2018-09-11,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0
164,2018-09-12,Kissht,Fin-Tech,Online Lending Platform,Mumbai,"Vertex Ventures Southeast Asia (Sea) And India And Sistema Asia Fund, Fosun Rz Capital, Ventureast, And Endiya Partners.\\N\\N",Private Equity,30000000.0
165,2018-08-01,Dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth And Artesian Venture Partners",Seed/ Angel Funding,400000.0
167,2018-08-02,Samosa Labs,Consumer Internet,Social Media And Chat Entertainment Platform,Hyderabad,Xiaomi And Sequoia Capital India,Private Equity,7000000.0
168,2018-08-03,Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0
169,2018-08-07,My Omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals And Corporates,Mumbai,Unknown,Seed/ Angel Funding,1000000.0
170,2018-08-07,Shopx,Consumer Internet,Assisted E-Commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0
171,2018-08-07,Makemytrip,Consumer Internet,Online Travel Aggregator,Gurugram,Makemytrip Limited,Private Equity,10000000.0
172,2018-08-08,Hansel Io,Consumer Internet,Real-Time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0
173,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners And G Raghunandan",Private Equity,12200000.0
174,2018-08-08,Phone Pe,Consumer Internet,Upi Payments App,Bengaluru,Flipkart,Private Equity,66000000.0
175,2018-08-09,Quizizz,Ed-Tech,E-Learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners And Others",Seed/ Angel Funding,3000000.0
176,2018-08-09,Happy Emi,Fin-Tech,Consumer Financing Platform,Bengaluru,Aj Ventures And Jain International Trade Organisation (Jito),Seed/ Angel Funding,1000000.0
177,2018-08-13,Inthree,Consumer Internet,Rural E-Commerce Platform,Chennai,"Ventureast, Orios Venture Partners And The Ian Fund",Seed/ Angel Funding,4000000.0
178,2018-08-13,Observe Ai,Technology,Ai Based Solutions Platform,Bengaluru,"Nexus Venture Partners, Mgv, Liquid 2 Ventures, Hack Vc, Emergent Ventures And Y Combinator",Private Equity,8000000.0
179,2018-08-16,Enakshi,Consumer Internet,Ai Based Solutions Platform,Ahemadabad,Unknown,Seed/ Angel Funding,114811.0
180,2018-08-17,Eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust And Beenext,Private Equity,5850000.0
181,2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,Unknown,Seed / Angel Funding,1000000.0
182,2018-08-20,Rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000.0
183,2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence And Iot Focused\\Xc2\\Xa0Platform,Bengaluru,Cdc Group Plc\\Xc2\\Xa0,Private Equity,6000000.0
184,2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss And Beenext, Dream Incubator, Sunjay Kapoor And Telama Investment",Private Equity,14270000.0
185,2018-08-26,Zestmoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,Payu, Ribbit Capital And Omidyar Network",Private Equity,13400000.0
186,2018-08-26,Shubh Loans,Fin-Tech,\\Xc2\\Xa0Customer Sourcing Platform\\Xc2\\Xa0,Bengaluru,"Saama Capital, Sri Capital, Beenext, And Pravega Ventures",Private Equity,4200000.0
187,2018-08-27,Myupchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network And Shunwei Capital",Private Equity,5000000.0
188,2018-08-28,Narvar,It,Post-Purchase Customer Engagement Platform\\Xc2\\Xa0,Bengaluru,Accel (Formerly Known As Accel Partners),Private Equity,3000000.0
189,2018-08-30,True North,Finance,Private Equity Firm,Mumbai,Unknown,Private Equity,600000000.0
191,2018-07-02,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan And Vinay Mittal,Seed/ Angel Funding,1000000.0
192,2018-07-04,Anchanto,It,E-Commerce Fulfilment Platform,Pune,Mdi Ventures & Telkom Indonesia,Private Equity,4000000.0
193,,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, Vc Firms India Quotient And Kae Capital",Private Equity,6250000.0
194,2018-07-06,Policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd And Temasek,Private Equity,27700000.0
195,2018-07-09,Zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000.0
196,2018-07-09,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000.0
197,2018-07-10,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, Chief Operating Office At Idfc Bank, Aditya Malik & Others",Seed/ Angel Funding,437000.0
199,2018-07-10,Kinara Capital,Finance,Lending Platform For Micro And Small Enterprises,Bengaluru,Responsability,Private Equity,5000000.0
200,2018-07-10,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, And Ramakant Sharma",Private Equity,5000000.0
201,2018-07-11,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base Of Pyramid Asia (Bopa) Pte Ltd,Private Equity,2500000.0
202,2018-07-12,19Th Mile,It,Artificial Intelligence-Based Sales Acceleration Software Platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta And Others",Seed/ Angel Funding,180000.0
203,2018-07-12,5Th Vital,Healthcare,Home Diagnostics Services Provider,Bengaluru,Brand Capital And Others,Seed/ Angel Funding,500000.0
204,2018-07-13,Mengage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-Founders Lab And Others.",Seed/ Angel Funding,175000.0
205,2018-07-17,Ofbusiness,Finance,Online Lending Platform For Sme,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India And Zodius Capital",Private Equity,29000000.0
206,2018-07-17,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway Fci Fund, Kck Global & Others",Private Equity,49700000.0
207,2018-07-18,The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,1500000.0
208,2018-07-19,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"Tpg Growth, The Rise Fund & Others",Private Equity,100000000.0
209,2018-07-20,Housingman,Consumer Internet,Property Discovery Platform,Bengaluru,Unknown,Seed/ Angel Funding,1500000.0
210,2018-07-21,Paysense,Consumer Internet,Online Consumer Lending Platform,Mumbai,Payu & Others,Private Equity,18000000.0
212,2018-07-23,Vtion,Technology,Media Analytics,Gurugram,"Angellist, Rahul Khanna, Rajeev Arora And Ram Ramsundar.",Seed/ Angel Funding,280000.0
